Movie Id ,Title,Genre,Tags,Languages,Series or Movie,Runtime,Director,Director_id,Writer,Actors,View Rating,Awards Received,Awards Nominated For,Boxoffice,Netflix Release Date
87,Gaya Sa Pelikula,Romance,"Comedy Programmes,Drama Programmes,Romantic TV Comedies,Romantic TV Dramas,Teen Programmes,Filipino TV Shows",Tagalog,Series,30,JP Habac,80,,"Yesh Burce, Ian Pangilinan, Paolo Pangilinan, Adrienne Vergara",Not Rated,0,0,,1/7/2021
88,Rose and Tulip,Romance,"Dramas,Comedies,Japanese Movies",Japanese,Movie,120,Teruo Noguchi,81,"Saeki Nejime, Akiko Higashimura","Hwang Chan-Sung, Jun-Ho Lee, Hyunri, Eri Fuse",Not Rated,0,0,,1/1/2021
89,Immortal Love,Romance,"Action & Adventure Programmes,Drama Programmes,Fantasy TV Programmes,Singaporean Programmes",Turkish,Series,30,Bernard Rose,82,,"Tolga Çevik, Sebnem Dönmez, Ufuk Özkan, Demet Akbag",Not Rated,0,0,,12/12/2020
90,Romance on the Menu,Romance,"Romantic Dramas,Australian Movies,Dramas,Romantic Movies",English,Movie,120,Rosie Lourde,83,"Casie Tabanou, Alison Spuck McNeeley","Peter Bensley, Tim Ross, Cindy Busby, Naomi Sequeira",Not Rated,0,0,,12/12/2020
91,Hometown Holiday,Romance,"Romantic Movies,Movies Based on Books",English,Movie,120,Justin G. Dyck,84,"Amanda McNeice, Caro Carson","Samantha Gracie, Bradley Hamilton, Sarah Troyer, Kevin McGarry",TV-PG,0,0,,11/16/2020
92,Christmas with a Prince,Romance,"Romantic Dramas,Romantic Comedies,Dramas,Comedies,Romantic Movies",English,Movie,120,Justin G. Dyck,84,Keith Cooper,"Melinda Shankar, Nick Hounslow, Kaitlyn Leeb, Josh Dean",TV-PG,0,0,,11/5/2020
93,Walk Away from Love,Romance,"Romantic Dramas,Romantic Dramas,Dramas,Dramas,Romantic Movies,Romantic Movies",English,Movie,120,Christopher Nolen,85,Bridget Williams,"Brad James, Brely Evans, Noree Victoria, Robert Christopher Riley",TV-14,0,0,,11/3/2020
94,A Wedding for Christmas,Romance,Romantic Movies,English,Movie,120,Fred Olen Ray,86,Anna White,"Colton Little, Lesli Kay, Vivica A. Fox, Cristine Prosperi",Not Rated,0,0,,11/1/2020
95,ANNE+,Drama,"TV Dramas,Romantic TV Dramas,Dutch TV Shows",Turkish,Series,30,Maud Wiemeijer,87,,"Vahide Perçin, Gonca Vuslateri, Cansu Dere, Beren Gokyildiz",Not Rated,1,0,,3/4/2021
96,Gleboka woda,Drama,"TV Dramas,Polish TV Shows,Social Issue TV Dramas",Polish,Series,30,Magdalena ?azarkiewicz,88,,"Marcin Dorocinski, Piotr Nowak, Julia Kijowska, Katarzyna Maciag",Not Rated,2,4,,3/3/2021
97,Only a Mother,Drama,"Social Issue Dramas,Dramas,Movies Based on Books,Period Pieces,Swedish Movies",Swedish,Movie,120,Alf Sjöberg,89,Ivar Lo-Johansson,"Ulf Palme, Ragnar Falck, Hugo Björne, Eva Dahlbeck",Not Rated,2,1,,3/3/2021
98,The Simple Minded Murderer,Drama,"Social Issue Dramas,Dramas,Movies Based on Books,Period Pieces,Classic Movies,Swedish Movies", Swedish,Movie,120,Hans Alfredson,90,Hans Alfredson,"Stellan Skarsgård, Hans Alfredson, Per Myrberg, Maria Johansson",Not Rated,7,2,,3/3/2021
99,1939,Drama,"Swedish Movies,Dramas",Swedish,Movie,170,Göran Carmback,91,"Catti Edfeldt, Kjell Sundstedt, Brasse Brännström","Helene Egelund, Ingvar Hirdwall, Per Morberg, Helena Bergström",Not Rated,0,0,,3/3/2021
100,Repast,Drama,"Dramas,Movies Based on Books,Japanese Movies,Classic Movies",Japanese,Movie,120,Mikio Naruse,92,"Sumie Tanaka, Yasunari Kawabata, Fumiko Hayashi, Toshirô Ide","Yukiko Shimazaki, Setsuko Hara, Ken Uehara, Yôko Sugi",Not Rated,9,0,,3/1/2021
101,When a Woman Ascends the Stairs,Drama,"Social Issue Dramas,Dramas,Japanese Movies,Classic Movies",Japanese,Movie,120,Mikio Naruse,92,Ryûzô Kikushima,"Hideko Takamine, Tatsuya Nakadai, Masayuki Mori, Reiko Dan",Not Rated,0,0,,3/1/2021
102,Yearning,Drama,"Romantic Dramas,Dramas,Romantic Movies,Japanese Movies,Classic Movies",Japanese,Movie,120,Mikio Naruse,92,"Zenzô Matsuyama, Mikio Naruse","Hideko Takamine, Yumi Shirakawa, Mitsuko Kusabue, Yûzô Kayama",Not Rated,1,0,,3/1/2021
103,Ginza Cosmetics,Drama,"Dramas,Movies Based on Books,Japanese Movies,Classic Movies",Japanese,Movie,120,Mikio Naruse,92,"Matsuo Kishi, Tomoichirô Inoue","Yûji Hori, Kyôko Kagawa, Ranko Hanai, Kinuyo Tanaka",Not Rated,0,0,,3/1/2021
