Title,Genre,Languages,Type,CountryAvailability,Runtime,Director,ViewRating,AwardsReceived,AwardsNominatedFor,Boxoffice,NetflixReleaseDate,Year
Amandla A Revolution in Four Part Harmony,Documentary,English,Movie,United States,120,Lee Hirsch,PG-13,11,7,405331,11/3/2020,2020
Mias Magic Playground,Short,English,Series,India,30,Oriol Colomar,R,0,0,0,11/2/2020,2020
Supa Strikas,Animation,English,Series,India,30,Steven Spielberg ,R,0,0,0,11/2/2020,2020
Oh My Baby,Drama,Korean,Series,Thailand,30,Steven Spielberg ,R,0,0,0,11/2/2020,2020
The Bus Stop,Short,English,Series,Switzerland,30,James Sharpe,R,0,0,0,11/1/2020,2020
Deadly Class,Action,English,Series,Hong Kong,30,Steven Spielberg ,TV-MA,0,6,0,11/1/2020,2020
Sleeper,Comedy,English,Movie,Switzerland,120,Woody Allen,PG,2,2,18344729,11/1/2020,2020
Separated at Birth,Drama,English,Movie,Switzerland,120,JeanFranois Rivard,R,0,2,0,11/1/2020,2020
The Mountain Between Us,Action,English,Movie,Switzerland,120,Hany AbuAssad,PG-13,2,1,30348555,11/1/2020,2020
Homeland,Crime,English,Movie,Switzerland,120,Steven Spielberg ,TV-MA,60,178,0,11/1/2020,2020
Im Not Ready for Christmas,Action,English,Movie,Germany,120,George Lucas,PG,26,69,474544677,11/1/2020,2020
Habermann,Drama,German,Movie,Switzerland,120,Juraj Herz,PG-13,5,7,0,11/1/2020,2020
Broadcasting Christmas,Comedy,English,Movie,Canada,120,Peter Sullivan,TV-G,0,0,0,11/1/2020,2020
A Belle for Christmas,Comedy,English,Movie,Canada,120,Jason Dallas,PG,0,0,0,11/1/2020,2020
The Prague Orgy,Drama,English,Movie,Czech Republic,120,Irena Pavlskov,R,1,0,0,11/1/2020,2020
A Wedding for Christmas,Romance,English,Movie,Hungary,120,Fred Olen Ray,R,0,0,0,11/1/2020,2020
Christmas Under Wraps,Comedy,English,Movie,Hungary,120,Peter Sullivan,TV-G,0,1,0,11/1/2020,2020
12 Gifts of Christmas,Comedy,English,Movie,Hungary,120,Peter Sullivan,TV-G,0,0,0,11/1/2020,2020
1917,Drama,English,Movie,Czech Republic,120,Sam Mendes,R,123,180,159227644,11/1/2020,2020
Swedish Dicks,Comedy,English,Series,United Kingdom,30,Steven Spielberg ,TV-MA,0,1,0,11/1/2020,2020
A Perfect Christmas List,Comedy,English,Movie,United Kingdom,120,Fred Olen Ray,TV-G,0,0,0,11/1/2020,2020
Wheels of Fortune,Documentary,Dutch,Movie,United Kingdom,120,Wilko Bello,R,1,1,0,11/1/2020,2020
Ghosts of War,Horror,English,Movie,United Kingdom,120,Eric Bress,R,0,0,0,11/1/2020,2020
Christmas Land,Comedy,English,Movie,United Kingdom,120,Sam Irvin,TV-G,0,0,0,11/1/2020,2020
My Christmas Inn,Comedy,English,Movie,Lithuania,120,Peter Sullivan,TV-G,0,0,0,11/1/2020,2020
Christmas Wonderland,Drama,English,Movie,Lithuania,120,Sean Olson,TV-G,0,0,0,11/1/2020,2020
Christmas Made To Order,Romance,English,Movie,Lithuania,120,Sam Irvin,TV-G,0,0,0,11/1/2020,2020
Abigail,Action,English,Movie,Russia,120,Aleksandr Boguslavskiy,TV-14,0,1,0,10/30/2020,2020
You Animal,Animation,Filipino,Movie,South Korea,120,Avid Liongoren,R,0,0,0,10/30/2020,2020
Veer Abhimanyu,Drama,English,Movie,India,120,Manilal Joshi,R,0,0,0,10/30/2020,2020
Love in Lapland,Comedy,French,Movie,France,120,Arnauld Mercadier,R,0,0,0,10/30/2020,2020
Jurek,Documentary,Polish,Movie,Poland,120,Pawel Wysoczanski,R,0,0,0,10/30/2020,2020
Campo Grande,Comedy,Portuguese,Movie,Brazil,120,Sandra Kogut,R,0,0,0,10/30/2020,2020
Pagpag Nine Lives,Horror,Filipino,Movie,Lithuania,120,Frasco Mortiz,TV-14,4,26,82786,10/30/2020,2020
Rogue City,Action,French,Movie,Lithuania,120,Olivier Marchal,TV-MA,0,0,0,10/30/2020,2020
Guillermo Vilas Settling the Score,Documentary,Spanish,Movie,Lithuania,120,Matas Gueilburt,TV-14,0,0,0,10/30/2020,2020
Blood of Zeus,Animation,English,Series,France,30,Steven Spielberg ,TV-MA,0,0,0,10/30/2020,2020
Secrets of the Saqqara Tomb,Documentary,English,Movie,France,120,James Tovell,TV-PG,0,0,0,10/30/2020,2020
Kaali Khuhi,Drama,Hindi,Movie,France,120,Terrie Samundra,TV-14,0,0,0,10/30/2020,2020
His House,Drama,English,Movie,France,120,Remi Weekes,TV-14,4,20,0,10/30/2020,2020
Holidate,Reality-TV,English,Movie,France,120,Steven Spielberg ,R,0,0,0,10/30/2020,2020
Gipsy Queen,Drama,German,Movie,Switzerland,120,Hseyin Tabak,R,5,12,0,10/27/2020,2020
The Queens Gambit,Biography,English,Series,Lithuania,30,Stephen Frears,PG-13,96,97,56441711,10/23/2020,2020
Move,Comedy,German,Series,Lithuania,30,Dietrich Brggemann,R,0,8,0,10/23/2020,2020
Barbarians,Drama,Serbian,Series,Lithuania,30,Ivan Ikic,R,4,3,0,10/23/2020,2020
A Suitable Boy,Drama,English,Series,Lithuania,30,Steven Spielberg ,TV-14,1,1,0,10/23/2020,2020
Over the Moon,Comedy,Italian,Movie,Lithuania,120,William K Howard,Approved,0,0,0,10/23/2020,2020
VIP,Drama,Korean,Series,Lithuania,30,Steven Spielberg ,R,0,0,0,10/22/2020,2020
Doctor John,Drama,Korean,Series,Lithuania,30,Steven Spielberg ,R,1,0,0,10/22/2020,2020
Cadaver,Horror,Thai,Movie,United Kingdom,120,Dulyasit Niyomgul,R,0,0,0,10/22/2020,2020
Im losing it,Action,English,Movie,Russia,120,George Lucas,PG,26,69,474544677,10/22/2020,2020
45 Days,Drama,English,Movie,Israel,120,Makesha Williamson,R,0,0,0,10/22/2020,2020
Sleepless Nights,Drama,Arabic,Movie,Israel,170,Hani Khalifa,R,8,0,0,10/22/2020,2020
Black February,Comedy,Arabic,Movie,Israel,120,Steven Spielberg ,R,0,0,0,10/22/2020,2020
Someday or One Day,Drama,Mandarin,Series,South Korea,30,Steven Spielberg ,R,5,6,0,10/22/2020,2020
Little Kingdom,Drama,English,Movie,Czech Republic,120,Peter Magat,R,0,1,0,10/21/2020,2020
Bear with Us,Comedy,English,Movie,Czech Republic,120,William J Stribling,TV-MA,15,14,0,10/21/2020,2020
Rebecca,Drama,English,Movie,Canada,170,Alfred Hitchcock,Approved,7,10,0,10/21/2020,2020
The Hows of Us,Drama,Filipino,Movie,Lithuania,120,Cathy GarciaMolina,R,3,16,0,10/21/2020,2020
Exes Baggage,Drama,Filipino,Movie,Lithuania,120,Dan Villegas,R,0,5,0,10/21/2020,2020
Bending the Arc,Documentary,English,Movie,Lithuania,120,Kief Davidson,R,1,1,21907,10/21/2020,2020
Taras Bulba,Adventure,English,Movie,Russia,170,J Lee Thompson,Approved,0,3,0,10/21/2020,2020
The Envelope,Horror,Russian,Movie,Russia,120,Vladimir Markov,R,0,1,0,10/21/2020,2020
The Magic School Bus Rides Again The Frizz Connection,Animation,English,Movie,Lithuania,120,Steven Spielberg ,R,0,0,0,10/20/2020,2020
Disappearance at Clifton Hill,Drama,English,Movie,United Kingdom,120,Albert Shin,Unrated,1,9,3449,10/20/2020,2020
We Are All For The Fatherland,Documentary,French,Movie,Mexico,120,Maroun Bagdadi,R,0,0,0,10/20/2020,2020
Out of Life,Crime,French,Movie,Lithuania,120,Maroun Bagdadi,R,1,2,0,10/18/2020,2020
Panoptic,Documentary,Arabic,Movie,Lithuania,120,Rana Eid,R,2,1,0,10/18/2020,2020
Taxi Ballad,Drama,Arabic,Movie,Lithuania,120,Daniel Joseph,R,0,1,0,10/18/2020,2020
The Kite,Drama,Arabic,Movie,Lithuania,120,Randa Chahal Sabag,Unrated,4,3,0,10/18/2020,2020
What Did I Mess,Comedy,Arabic,Movie,Lithuania,120,Shady Hanna,R,0,6,0,10/18/2020,2020
West Beirut,Comedy,Arabic,Movie,Lithuania,120,Ziad Doueiri,PG-13,8,2,0,10/18/2020,2020
Whispers,Drama,English,Movie,Lithuania,120,Tammi Sutton,R,0,3,0,10/18/2020,2020
Zozo,Drama,Arabic,Movie,Lithuania,120,Josef Fares,R,6,3,0,10/18/2020,2020
Listen,Mystery,English,Movie,Lithuania,120,Gavin Wilding,R,0,0,0,10/18/2020,2020
Heritages,Biography,Arabic,Movie,Lithuania,120,Philippe Aractingi,R,3,3,0,10/18/2020,2020
Ghadi,Comedy,Arabic,Movie,Lithuania,120,Amin Dora,R,3,3,0,10/18/2020,2020
Bosta,Musical,Arabic,Movie,Lithuania,120,Philippe Aractingi,R,0,0,0,10/18/2020,2020
Beirut Oh Beirut,Drama,Arabic,Movie,Lithuania,120,Maroun Bagdadi,R,0,0,0,10/18/2020,2020
StartUp,Action,Korean,Series,United Kingdom,30,JeongYeol Choi,R,2,1,0,10/18/2020,2020
More,Sci-Fi,None,Movie,Israel,120,Mark Osborne,R,9,3,0,10/17/2020,2020
Tayos Singalong Show,Animation,Korean,Series,South Korea,30,Steven Spielberg ,R,0,0,0,10/16/2020,2020
Someone Has to Die,Crime,Spanish,Series,Lithuania,30,Steven Spielberg ,TV-MA,0,0,0,10/16/2020,2020
Grand Army,Drama,English,Series,Canada,30,Steven Spielberg ,TV-MA,0,1,0,10/16/2020,2020
Dream Home Makeover,Reality-TV,English,Series,Canada,30,Steven Spielberg ,TV-G,0,0,0,10/16/2020,2020
The Trial of the Chicago 7,Drama,English,Movie,Lithuania,170,Aaron Sorkin,R,31,119,0,10/16/2020,2020
Brahms The Boy II,Drama,English,Movie,Czech Republic,120,William Brent Bell,PG-13,0,0,12611536,10/16/2020,2020
When My Love Blooms,Drama,Korean,Series,Thailand,30,Steven Spielberg ,R,0,0,0,10/15/2020,2020
Social Distance,Comedy,English,Series,Lithuania,30,Steven Spielberg ,TV-MA,1,0,0,10/15/2020,2020
Rooting for Roona,Documentary,Bengali,Movie,Lithuania,120,Akshay Shankar,R,0,0,0,10/15/2020,2020
Disconnect,Drama,English,Movie,Lithuania,120,Henry Alex Rubin,R,0,0,1436900,10/15/2020,2020
A Babysitters Guide to Monster Hunting,Comedy,English,Movie,Lithuania,120,Steven Spielberg ,R,0,0,0,10/15/2020,2020
3 NonBlondes,Comedy,English,Series,United Kingdom,30,Steven Spielberg ,R,0,3,0,10/15/2020,2020
Babylon,Comedy,English,Movie,United Kingdom,120,Steven Spielberg ,R,0,1,0,10/15/2020,2020
Bureau of Magical Things,Fantasy,English,Series,Lithuania,30,Steven Spielberg ,TV-G,3,3,0,10/14/2020,2020
Saving Sally,Animation,English,Movie,Lithuania,120,Avid Liongoren,R,10,15,0,10/14/2020,2020
The Eve,Horror,English,Movie,United Kingdom,120,Ritchie Steven Filippi,Unrated,0,0,0,10/14/2020,2020
Those Who Remained,Drama,Hungarian,Movie,Hungary,120,Barnabs Tth,R,10,7,0,10/14/2020,2020
Guerilla,Drama,Hungarian,Movie,Hungary,120,Gyrgy Mr Krpti,R,2,11,0,10/14/2020,2020
Alice Junior,Comedy,Portuguese,Movie,Germany,120,Gil Baroni,R,11,9,0,10/14/2020,2020
The Cabin with Bert Kreischer,Comedy,English,Series,Canada,30,Steven Spielberg ,TV-MA,0,0,0,10/14/2020,2020
Octonauts  the Great Barrier Reef,Animation,English,Movie,Lithuania,120,Blair Simmons,R,0,0,0,10/14/2020,2020
The Three Deaths of Marisela Escobedo,Documentary,Spanish,Movie,Lithuania,120,Carlos Perez Osorio,TV-MA,0,0,0,10/14/2020,2020
Fida,Action,Hindi,Movie,Lithuania,120,Ken Ghosh,R,0,0,98297,10/14/2020,2020
BLACKPINK Light Up the Sky,Documentary,Korean,Movie,Lithuania,120,Caroline Suh,TV-14,0,0,0,10/14/2020,2020
A Choo,Fantasy,Mandarin,Movie,Lithuania,120,Kevin Ko,R,0,1,0,10/14/2020,2020
Disco Dancer,Drama,Hindi,Movie,Lithuania,170,Babbar Subhash,PG-13,0,0,0,10/11/2020,2020
Dil,Action,Telugu,Movie,Lithuania,170,VV Vinayak,Unrated,0,0,0,10/11/2020,2020
Palermo Hollywood,Drama,Spanish,Movie,Spain,120,Eduardo Pinto,R,0,1,0,10/9/2020,2020
The Haunting of Bly Manor,Drama,English,Series,Canada,30,Steven Spielberg ,TV-MA,0,5,0,10/9/2020,2020
Deaf U,Drama,English,Series,Canada,30,Steven Spielberg ,TV-MA,0,0,0,10/9/2020,2020
The FortyYearOld Version,Comedy,English,Movie,Lithuania,170,Radha Blank,R,13,24,0,10/9/2020,2020
Ginny Weds Sunny,Comedy,Hindi,Movie,Lithuania,170,Puneet Khanna,TV-MA,0,0,0,10/9/2020,2020
Bigflo  Oli Hip Hop Frenzy,Documentary,English,Movie,English,120,Jrmie Levypon,R,0,0,0,10/8/2020,2020
Monaco Franze,Comedy,German,Series,Switzerland,30,Steven Spielberg ,R,1,0,0,10/8/2020,2020
Private Lives,Comedy,English,Series,United Kingdom,30,Sidney Franklin,Passed,0,0,0,10/8/2020,2020
Enterprice,Comedy,English,Series,United Kingdom,30,Nida Manzoor,R,2,0,0,10/8/2020,2020
Do Do Sol Sol La La Sol,Comedy,Korean,Series,United Kingdom,30,Steven Spielberg ,R,0,0,0,10/8/2020,2020
Desmonds,Short,English,Series,United Kingdom,30,Harry Cummins,R,0,0,0,10/8/2020,2020
Money or Love,Comedy,English,Movie,Czech Republic,120,Vianlix Mestey,R,0,0,0,10/8/2020,2020
Decibels of Love,Comedy,Czech,Movie,Czech Republic,120,Miloslav Halk,R,0,0,0,10/8/2020,2020
The Watermill Princess 2,Comedy,Czech,Movie,Czech Republic,120,Zdenek Troska,R,1,0,0,10/8/2020,2020
The Tank Battalion,Comedy,Czech,Movie,Czech Republic,120,Vt Olmer,R,0,0,0,10/8/2020,2020
Rebels,Comedy,French,Movie,Czech Republic,120,Allan Mauduit,R,0,1,0,10/8/2020,2020
To the Lake,Drama,Russian,Series,Lithuania,30,Steven Spielberg ,TV-MA,5,11,0,10/7/2020,2020
Hubie Halloween,Comedy,English,Movie,Lithuania,120,Steven Brill,PG-13,0,0,0,10/7/2020,2020
The Crew,Comedy,English,Movie,Russia,170,Michael Dinner,PG-13,1,0,13023075,10/7/2020,2020
The Rest Of Us,Drama,English,Movie,United Kingdom,120,Aisling ChinYee,R,0,3,0,10/7/2020,2020
Lucky Punch,Drama,French,Movie,Germany,120,Dominique Ladoge,R,0,0,0,10/6/2020,2020
YuGiOh Vrains,Animation,English,Series,South Korea,30,Steven Spielberg ,TV-PG,0,0,0,10/6/2020,2020
Into the Wilderness,Short,English,Series,South Korea,30,OAC Lund,R,0,0,0,10/6/2020,2020
Doraemon the Movie Nobitas Treasure Island,Animation,Japanese,Movie,South Korea,120,Steven Spielberg ,R,0,0,0,10/6/2020,2020
Honey Boy,Drama,English,Movie,South Korea,120,Alma Harel,R,10,37,3012615,10/6/2020,2020
Blumhouses Fantasy Island,Comedy,English,Movie,South Korea,120,Steven Spielberg ,R,0,0,0,10/6/2020,2020
Black Christmas,Horror,English,Movie,South Korea,120,Bob Clark,R,2,2,0,10/6/2020,2020
Jujutsu Kaisen,Animation,Japanese,Series,Japan,30,Steven Spielberg ,TV-MA,0,10,0,10/5/2020,2020
Bad Boy Billionaires India,Documentary,English,Series,Lithuania,30,Steven Spielberg ,TV-14,0,0,0,10/4/2020,2020
David Attenborough A Life on Our Planet,Documentary,English,Movie,Lithuania,120,Keith Scholey,PG,3,2,0,10/4/2020,2020
Spotlight,Biography,English,Series,Switzerland,30,Tom McCarthy,R,124,143,45055776,10/3/2020,2020
Judy,Biography,English,Movie,Germany,120,Rupert Goold,PG-13,23,61,24313888,10/3/2020,2020
Ich liebe alles was ich an dir hasse,Comedy,German,Movie,Germany,120,Nadine Keil,R,0,0,0,10/3/2020,2020
Song Exploder,Documentary,English,Series,Canada,30,Steven Spielberg ,TV-MA,0,0,0,10/2/2020,2020
Emily in Paris,Comedy,French,Series,Canada,30,Steven Spielberg ,TV-MA,1,3,0,10/2/2020,2020
The Binding,Drama,English,Movie,Lithuania,120,Gus Krieger,Unrated,0,0,0,10/2/2020,2020
Serious Men,Comedy,English,Movie,Canada,120,Sudhir Mishra,R,0,0,0,10/2/2020,2020
Vampires vs the Bronx,Comedy,English,Movie,Lithuania,120,Oz Rodriguez,PG-13,0,0,0,10/2/2020,2020
Youve Got This,Crime,English,Movie,Lithuania,120,Steven Spielberg ,TV-MA,2,5,0,10/2/2020,2020
Dick Johnson Is Dead,Documentary,English,Movie,Lithuania,120,Kirsten Johnson,PG-13,17,28,0,10/2/2020,2020
Entitled,Comedy,English,Movie,United Kingdom,30,Ryan Sarno,R,0,0,0,10/2/2020,2020
The Dentist,Horror,English,Movie,Hungary,120,Brian Yuzna,R,3,4,0,10/2/2020,2020
Under the Same Roof,Short,English,Movie,Spain,120,Dornaz Hajiha,R,0,0,0,10/2/2020,2020
A Madea Family Funeral,Comedy,English,Movie,Spain,120,Tyler Perry,PG-13,0,7,73257045,10/2/2020,2020
Secreto bien guardado,Drama,Spanish,Series,Spain,30,Steven Spielberg ,R,0,0,0,10/1/2020,2020
Ricky Zoom,Animation,English,Series,France,30,Steven Spielberg ,TV-Y,0,0,0,10/1/2020,2020
Shivers,Horror,English,Movie,France,120,David Cronenberg,R,1,0,0,10/1/2020,2020
Octav,Drama,Romanian,Movie,Hungary,120,Serge Ioan Celebidachi,R,104,22,0,10/1/2020,2020
LEmpereur de Paris,Comedy,Greek,Movie,Poland,120,Babis Makridis,Unrated,0,8,0,10/1/2020,2020
All Because of You,Action,Malay,Movie,Lithuania,120,Adrian Teh,TV-PG,0,0,0,10/1/2020,2020
Banana,Animation,English,Series,United Kingdom,30,Kyle Balda,TV-Y7,0,0,0,10/1/2020,2020
Aliens,Action,English,Series,United Kingdom,30,James Cameron,R,20,23,85160248,10/1/2020,2020
A Moving Image,Drama,English,Movie,United Kingdom,120,Shola Amoo,PG,2,0,0,10/1/2020,2020
Rocks,Animation,German,Movie,United Kingdom,120,Arvid Uibel,R,8,0,0,10/1/2020,2020
Tucked,Drama,English,Movie,United Kingdom,120,Jamie Patterson,Unrated,7,5,0,10/1/2020,2020
White Teeth,Drama,English,Series,United Kingdom,30,Steven Spielberg ,R,3,3,0,10/1/2020,2020
Generation Revolution,Documentary,English,Movie,United Kingdom,120,Usayd Younis,Unrated,0,0,0,10/1/2020,2020
Elsewhere,Crime,English,Movie,United Kingdom,120,Nathan Hope,R,0,0,0,10/1/2020,2020
Daria,Animation,English,Movie,Czech Republic,120,Steven Spielberg ,TV-14,1,3,0,10/1/2020,2020
Familiar Wife,Fantasy,Korean,Series,Lithuania,30,Steven Spielberg ,R,0,0,0,9/30/2020,2020
Code Lyoko,Animation,English,Series,Lithuania,30,Steven Spielberg ,TV-Y7,0,0,0,9/30/2020,2020
The American Game,Comedy,English,Movie,Lithuania,120,Steven Spielberg ,R,0,0,0,9/30/2020,2020
Im Leaving Now,Action,English,Movie,Lithuania,120,George Lucas,PG,26,69,474544677,9/30/2020,2020
The Boys in the Band,Drama,English,Movie,Canada,170,Joe Mantello,R,0,1,0,9/30/2020,2020
American Murder The Family Next Door,Documentary,English,Movie,Lithuania,120,Jenny Popplewell,TV-MA,0,0,0,9/30/2020,2020
Happy New Year,Action,Hindi,Movie,Czech Republic,120,Farah Khan,Unrated,16,18,0,9/29/2020,2020
Amundsen,Adventure,Norwegian,Movie,Czech Republic,170,Espen Sandberg,R,0,3,0,9/29/2020,2020
Michelle Buteau Welcome to Buteaupia,Comedy,English,Movie,France,120,Page Hurwitz,TV-MA,0,1,0,9/29/2020,2020
Poacher,Short,English,Movie,Lithuania,30,Tom Whitworth,R,0,0,0,9/29/2020,2020
Baxu and the Giants,Short,English,Movie,Lithuania,30,Florian Schott,R,9,10,0,9/29/2020,2020
Whose Vote Counts Explained,Documentary,English,Series,Lithuania,30,Steven Spielberg ,TV-PG,0,0,0,9/28/2020,2020
Welcome,Comedy,Hindi,Movie,Lithuania,170,Anees Bazmee,Unrated,1,6,0,9/27/2020,2020
The School Nurse Files,Comedy,Korean,Series,Canada,30,Steven Spielberg ,TV-MA,0,0,0,9/25/2020,2020
Sneakerheads,Comedy,English,Series,Lithuania,30,Steven Spielberg ,TV-MA,0,0,0,9/25/2020,2020
A Perfect Crime,Adventure,None,Series,Lithuania,30,Allan Dwan,Passed,0,0,0,9/25/2020,2020
Time Out,Drama,French,Movie,Lithuania,120,Laurent Cantet,PG-13,2,8,448542,9/25/2020,2020
My Mothers Wound,Drama,Italian,Movie,Lithuania,120,Nanni Moretti,R,12,26,303002,9/24/2020,2020
Rhino Season,Drama,Kurdish,Movie,Turkey,120,Bahman Ghobadi,R,6,6,0,9/24/2020,2020
Hozukis Coolheadedness,Mystery,Japanese,Series,South Korea,30,Kazuo Ikehiro,R,0,0,0,9/23/2020,2020
Enola Holmes,Action,English,Movie,Lithuania,170,Harry Bradbeer,PG-13,0,6,0,9/23/2020,2020
Coming from Insanity,Crime,English,Movie,South Africa,120,Akinyemi Sebastian Akinropo,R,0,1,0,9/22/2020,2020
Wszystkie kobiety Mateusza,Comedy,Polish,Movie,Poland,120,Artur Wiecek,R,0,0,0,9/22/2020,2020
The Playbook,Drama,English,Series,Canada,30,Darran Scott,PG,0,0,0,9/22/2020,2020
Mighty Express,Animation,English,Series,Lithuania,30,Steven Spielberg ,TV-Y,0,0,0,9/22/2020,2020
Lun dans lautre,Comedy,Greek,Movie,France,120,Babis Makridis,Unrated,0,8,0,9/21/2020,2020
Kiss the Ground,Documentary,English,Movie,Lithuania,120,Joshua Tickell,R,4,4,0,9/21/2020,2020
A Love Song for Latasha,Documentary,English,Movie,Lithuania,30,Sophia Nahli Allison,TV-PG,5,6,0,9/21/2020,2020
Rojo,Drama,Spanish,Movie,Argentina,120,Benjamn Naishtat,R,15,26,94757,9/21/2020,2020
On the Quiet,Drama,Hungarian,Movie,Hungary,120,Zoltn Nagy,R,0,1,0,9/20/2020,2020
I Hope Youll Die Next Time,Documentary,English,Movie,Hungary,120,John Scheinfeld,Unrated,0,0,0,9/20/2020,2020
Gypsy in Space,Drama,English,Movie,Hungary,120,Agneta FagerstrmOlsson,R,0,0,0,9/20/2020,2020
Tall Tales,Short,English,Movie,Hungary,120,Liz Gilbert,R,0,0,0,9/20/2020,2020
His Masters Voice,Drama,Mandarin,Movie,Hungary,120,Yonggang Wu,R,0,0,0,9/20/2020,2020
One Day,Drama,English,Movie,Hungary,120,Lone Scherfig,PG-13,1,2,13843771,9/20/2020,2020
Residue,Drama,English,Movie,United Kingdom,120,Steven Spielberg ,R,0,0,0,9/20/2020,2020
High  Low The Worst,Action,English,Movie,India,170,David Mackenzie,R,47,167,27007844,9/20/2020,2020
High  Low The Movie 3  Final Mission,Action,English,Movie,India,120,David Mackenzie,R,47,167,27007844,9/20/2020,2020
Road To High  Low,Action,Japanese,Movie,India,120,Shigeaki Kubo,R,0,0,0,9/20/2020,2020
High  Low The Movie 2  End of Sky,Action,English,Movie,India,170,David Mackenzie,R,47,167,27007844,9/20/2020,2020
High  Low The Red Rain,Action,English,Movie,India,120,David Mackenzie,R,47,167,27007844,9/20/2020,2020
High  Low The Movie,Action,English,Movie,India,170,David Mackenzie,R,47,167,27007844,9/20/2020,2020
Cypher,Mystery,English,Series,South Africa,30,Vincenzo Natali,R,5,3,0,9/20/2020,2020
Dr Jason Leong Hashtag Blessed,Comedy,English,Movie,Mexico,120,Kubhaer T Jethwani,R,0,0,0,9/20/2020,2020
O mnie sie nie martw,Comedy,Polish,Series,Poland,30,Steven Spielberg ,R,0,0,0,9/20/2020,2020
Saving Flora,Adventure,English,Movie,Poland,120,Mark Drury Taylor,Unrated,2,7,0,9/20/2020,2020
Sing On,Game-Show,English,Series,Russia,30,Steven Spielberg ,TV-PG,0,0,0,9/20/2020,2020
Ratched,Crime,English,Series,Russia,30,Steven Spielberg ,TV-MA,0,6,0,9/20/2020,2020
The Last Word,Comedy,English,Series,Russia,30,Mark Pellington,R,0,0,1783421,9/20/2020,2020
Jurassic World Camp Cretaceous,Animation,English,Series,Russia,30,Steven Spielberg ,TV-PG,0,0,0,9/20/2020,2020
Dragons Dogma,Action,Mandarin,Series,Russia,30,Peter HoSun Chan,R,14,21,11137,9/20/2020,2020
Challenger,Drama,English,Series,Russia,30,Glenn Jordan,Unrated,1,1,0,9/20/2020,2020
The American Barbecue Showdown,Reality-TV,English,Series,Russia,30,Steven Spielberg ,TV-G,0,0,0,9/20/2020,2020
The Paramedic,Action,Spanish,Movie,Russia,120,Carles Torras,TV-MA,1,0,0,9/20/2020,2020
The Royal Bengal Tiger,Thriller,Bengali,Movie,Russia,120,Rajesh Ganguly,R,0,0,0,9/20/2020,2020
Saheb Biwi Aur Gangster Returns,Action,Hindi,Movie,Russia,170,Tigmanshu Dhulia,Unrated,3,2,0,9/20/2020,2020
Santa Banta Pvt Ltd,Comedy,English,Movie,Russia,120,Akashdeep,R,0,0,0,9/20/2020,2020
Whipped,Comedy,English,Movie,Russia,120,Peter M Cohen,R,0,1,4159986,9/20/2020,2020
Horrid Henrys Gross Day Out,Animation,English,Movie,Russia,120,Steven Spielberg ,TV-Y7,0,1,0,9/20/2020,2020
GIMS On the Record,Documentary,French,Movie,Russia,120,Florent Bodin,TV-MA,0,0,0,9/20/2020,2020
The Devil All The Time,Crime,English,Movie,Russia,170,Antonio Campos,R,0,3,0,9/20/2020,2020
The Blue Elephant 2,Crime,Arabic,Movie,Russia,170,Marwan Hamed,R,0,0,0,9/20/2020,2020
Black,Drama,Hindi,Movie,Russia,170,Sanjay Leela Bhansali,Unrated,56,4,754819,9/20/2020,2020
Anaamika,Thriller,Tamil,Movie,Russia,170,Sekhar Kammula,Unrated,0,1,0,9/20/2020,2020
Battle of the Sexes,Biography,English,Movie,Switzerland,170,Jonathan Dayton,PG-13,3,22,12638526,9/16/2020,2020
Patti Cake,Drama,English,Movie,Switzerland,120,Geremy Jasper,R,9,15,800148,9/16/2020,2020
A Violent Life,Drama,French,Movie,France,120,Thierry de Peretti,R,1,1,0,9/15/2020,2020
Yuma,Action,Polish,Movie,Poland,120,Piotr Mularuk,R,0,2,0,9/15/2020,2020
Izzys Koala World,Short,English,Series,Lithuania,30,Jennifer Ross,R,0,0,0,9/15/2020,2020
Gogglebox,Reality-TV,English,Series,United Kingdom,30,Steven Spielberg ,R,5,1,0,9/15/2020,2020
A Nice Girl Like You,Comedy,English,Movie,United Kingdom,120,Nick Riedell,R,0,0,0,9/15/2020,2020
Nothing for Mahala,Comedy,English,Movie,South Africa,120,Rolie Nikiwe,R,1,1,0,9/14/2020,2020
The Donkey King,Animation,Urdu,Movie,South Africa,120,Aziz Jindani,R,1,0,0,9/14/2020,2020
Close Enough,Animation,English,Series,Lithuania,30,Steven Spielberg ,TV-14,0,0,0,9/14/2020,2020
My Absolute Boyfriend,Comedy,Korean,Series,Hong Kong,30,Steven Spielberg ,R,0,0,0,9/14/2020,2020
The Good Detective,Action,Korean,Series,South Korea,30,Steven Spielberg ,R,0,0,0,9/14/2020,2020
Graceful Friends,Crime,Korean,Series,South Korea,30,Steven Spielberg ,R,0,0,0,9/14/2020,2020
A Millionaires First Love,Comedy,English,Movie,South Korea,120,Jean Negulesco,Unrated,0,3,0,9/14/2020,2020
Saem,Comedy,Korean,Movie,South Korea,120,KyuIl Hwang,R,0,0,0,9/14/2020,2020
Yongsoon,Comedy,Korean,Movie,South Korea,120,Joon Shin,R,1,6,0,9/14/2020,2020
Student A,Drama,Korean,Movie,South Korea,120,KyungSub Lee,R,0,0,0,9/14/2020,2020
HeungBoo The Revolutionist,Drama,Korean,Movie,South Korea,120,Geunhyun Cho,R,0,0,0,9/14/2020,2020
